
    # |      % | total% | amount | word
 ---------------------------------------
   50 |  0.260 | 44.567 |   5165 | them 
   51 |  0.254 | 44.821 |   5049 | out 
   52 |  0.249 | 45.070 |   4935 | do 
   53 |  0.248 | 45.318 |   4921 | up 
   54 |  0.246 | 45.564 |   4883 | then 
   55 |  0.236 | 45.800 |   4676 | been 
   56 |  0.235 | 46.034 |   4659 | will 
   57 |  0.233 | 46.268 |   4634 | their 
   58 |  0.225 | 46.493 |   4469 | your 
   59 |  0.219 | 46.712 |   4349 | now 
   60 |  0.219 | 46.931 |   4339 | could 
   61 |  0.217 | 47.148 |   4307 | who 
   62 |  0.206 | 47.354 |   4097 | more 
   63 |  0.203 | 47.558 |   4038 | some 
   64 |  0.195 | 47.753 |   3869 | very 
   65 |  0.194 | 47.947 |   3854 | any 
   66 |  0.186 | 48.133 |   3697 | little 
   67 |  0.184 | 48.317 |   3653 | like 
   68 |  0.181 | 48.498 |   3585 | into 
   69 |  0.168 | 48.666 |   3339 | about 
   70 |  0.165 | 48.831 |   3266 | see 
   71 |  0.162 | 48.993 |   3218 | than 
   72 |  0.161 | 49.154 |   3200 | did 
   73 |  0.161 | 49.315 |   3187 | time 
   74 |  0.157 | 49.471 |   3111 | its 
   75 |  0.156 | 49.627 |   3087 | man 
   76 |  0.152 | 49.779 |   3025 | only 
   77 |  0.151 | 49.930 |   2990 | such 
   78 |  0.148 | 50.078 |   2942 | has 
   79 |  0.148 | 50.226 |   2936 | down 
   80 |  0.147 | 50.373 |   2925 | over 
   81 |  0.146 | 50.520 |   2907 | other 
   82 |  0.146 | 50.666 |   2905 | well 
   83 |  0.146 | 50.812 |   2893 | know 
   84 |  0.144 | 50.956 |   2861 | before 
   85 |  0.143 | 51.099 |   2838 | must 
   86 |  0.142 | 51.241 |   2817 | upon 
   87 |  0.141 | 51.383 |   2807 | can 
   88 |  0.138 | 51.521 |   2738 | how 
   89 |  0.135 | 51.656 |   2679 | may 
   90 |  0.132 | 51.787 |   2610 | never 
   91 |  0.131 | 51.918 |   2606 | good 
   92 |  0.127 | 52.046 |   2523 | much 
   93 |  0.126 | 52.172 |   2510 | come 
   94 |  0.126 | 52.298 |   2498 | old 
   95 |  0.123 | 52.421 |   2437 | should 
   96 |  0.120 | 52.540 |   2375 | am 
   97 |  0.116 | 52.656 |   2295 | go 
   98 |  0.114 | 52.770 |   2271 | after 
   99 |  0.113 | 52.883 |   2245 | again 
  100 |  0.112 | 52.995 |   2219 | our 
  101 |  0.111 | 53.106 |   2198 | these 
  102 |  0.111 | 53.217 |   2194 | project 
  103 |  0.110 | 53.327 |   2189 | way 
  104 |  0.110 | 53.437 |   2182 | long 
  105 |  0.109 | 53.546 |   2171 | here 
  106 |  0.109 | 53.655 |   2164 | made 
  107 |  0.109 | 53.764 |   2155 | where 
  108 |  0.108 | 53.872 |   2143 | work 
  109 |  0.108 | 53.980 |   2140 | us 
  110 |  0.107 | 54.087 |   2124 | two 
  111 |  0.105 | 54.192 |   2091 | shall 
  112 |  0.105 | 54.297 |   2080 | own 
  113 |  0.105 | 54.401 |   2076 | think 
  114 |  0.102 | 54.504 |   2032 | say 
  115 |  0.100 | 54.604 |   1983 | away 
  116 |  0.099 | 54.702 |   1956 | too 
  117 |  0.098 | 54.800 |   1947 | came 
  118 |  0.098 | 54.898 |   1941 | day 
  119 |  0.095 | 54.994 |   1894 | first 
  120 |  0.095 | 55.089 |   1884 | yet 
  121 |  0.095 | 55.183 |   1880 | went 
  122 |  0.094 | 55.278 |   1873 | might 
  123 |  0.093 | 55.371 |   1854 | great 
  124 |  0.093 | 55.464 |   1838 | most 
  125 |  0.092 | 55.556 |   1831 | life 
  126 |  0.090 | 55.646 |   1778 | though 
  127 |  0.090 | 55.735 |   1777 | make 
  128 |  0.089 | 55.825 |   1776 | back 
  129 |  0.089 | 55.914 |   1770 | through 
  130 |  0.089 | 56.003 |   1765 | without 
  131 |  0.088 | 56.091 |   1747 | even 
  132 |  0.088 | 56.179 |   1747 | still 
  133 |  0.087 | 56.265 |   1722 | hand 
  134 |  0.086 | 56.352 |   1711 | ever 
  135 |  0.085 | 56.437 |   1685 | last 
  136 |  0.085 | 56.521 |   1684 | himself 
  137 |  0.084 | 56.606 |   1677 | every 
  138 |  0.084 | 56.690 |   1673 | thought 
  139 |  0.084 | 56.774 |   1666 | off 
  140 |  0.082 | 56.856 |   1633 | got 
  141 |  0.082 | 56.939 |   1632 | being 
  142 |  0.082 | 57.020 |   1621 | many 
  143 |  0.081 | 57.102 |   1611 | just 
  144 |  0.081 | 57.183 |   1610 | nothing 
  145 |  0.081 | 57.264 |   1609 | eyes 
  146 |  0.081 | 57.344 |   1602 | don't 
  147 |  0.080 | 57.424 |   1579 | seemed 
  148 |  0.080 | 57.504 |   1579 | look 
  149 |  0.079 | 57.582 |   1559 | men 
  150 |  0.078 | 57.660 |   1553 | while 
  151 |  0.078 | 57.738 |   1544 | looked 
  152 |  0.076 | 57.815 |   1518 | face 
  153 |  0.075 | 57.890 |   1496 | those 
  154 |  0.075 | 57.965 |   1494 | get 
  155 |  0.075 | 58.041 |   1493 | head 
  156 |  0.075 | 58.115 |   1481 | tell 
  157 |  0.074 | 58.190 |   1477 | take 
  158 |  0.074 | 58.263 |   1459 | mrs 
  159 |  0.072 | 58.335 |   1426 | night 
  160 |  0.071 | 58.406 |   1412 | let 
  161 |  0.071 | 58.477 |   1404 | once 
  162 |  0.070 | 58.546 |   1382 | under 
  163 |  0.069 | 58.616 |   1376 | house 
  164 |  0.069 | 58.685 |   1366 | room 
  165 |  0.069 | 58.753 |   1365 | saw 
  166 |  0.069 | 58.822 |   1365 | found 
  167 |  0.067 | 58.889 |   1322 | miss 
  168 |  0.066 | 58.955 |   1319 | right 
  169 |  0.066 | 59.021 |   1311 | things 
  170 |  0.066 | 59.087 |   1309 | door 
  171 |  0.064 | 59.152 |   1276 | took 
  172 |  0.063 | 59.215 |   1250 | another 
  173 |  0.063 | 59.278 |   1249 | jo 
  174 |  0.063 | 59.340 |   1247 | because 
  175 |  0.063 | 59.403 |   1242 | why 
  176 |  0.062 | 59.465 |   1238 | heard 
  177 |  0.062 | 59.527 |   1229 | new 
  178 |  0.062 | 59.589 |   1221 | put 
  179 |  0.061 | 59.650 |   1219 | young 
  180 |  0.061 | 59.711 |   1211 | soon 
  181 |  0.061 | 59.772 |   1206 | always 
  182 |  0.061 | 59.833 |   1204 | something 
  183 |  0.061 | 59.893 |   1201 | people 
  184 |  0.060 | 59.953 |   1197 | dear 
  185 |  0.060 | 60.013 |   1181 | give 
  186 |  0.060 | 60.072 |   1181 | yes 
  187 |  0.059 | 60.132 |   1180 | same 
  188 |  0.059 | 60.191 |   1179 | myself 
  189 |  0.058 | 60.250 |   1159 | place 
  190 |  0.058 | 60.308 |   1155 | done 
  191 |  0.057 | 60.365 |   1125 | better 
  192 |  0.057 | 60.421 |   1124 | left 
  193 |  0.057 | 60.478 |   1123 | mind 
  194 |  0.056 | 60.534 |   1120 | quite 
  195 |  0.055 | 60.590 |   1098 | thing 
  196 |  0.055 | 60.645 |   1097 | three 
  197 |  0.054 | 60.699 |   1077 | hands 
  198 |  0.054 | 60.753 |   1074 | both 
  199 |  0.054 | 60.807 |   1074 | asked 
  200 |  0.054 | 60.861 |   1070 | oh
